gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000125968.9,ID1,3792.8161647558959,1.1899110979913301,0.33810421135154051,1.6980355104801921e-05,0.0085293360676833001
ENSG00000099860.9,GADD45B,487.41369637698568,1.260121872951862,0.38086587821706258,1.711049248403263e-05,0.0085293360676833001
ENSG00000159176.14,CSRP1,1130.54920050331,2.2753051530514732,0.86135427104000961,1.8530647357567119e-05,0.0089806723457631008
ENSG00000196263.8,ZNF471,585.04191738547001,-1.5912086469989459,0.52741326791570875,1.9306240157719271e-05,0.0091036749197764
ENSG00000186212.4,SOWAHB,105.4706587960022,1.232513876954666,0.360688457914979,2.0263271550092029e-05,0.0093035078614330004
ENSG00000144802.11,NFKBIZ,354.85239016219788,1.1314381804655189,0.33016697007911727,2.2543814254171939e-05,0.010085177622885501
ENSG00000158321.19,AUTS2,1889.9512053507451,-0.80670626226459952,0.23545618768256751,2.3373916472571269e-05,0.010195118017423699
ENSG00000114480.13,GBE1,847.9275363349077,0.72224636838286638,0.21011085257540579,2.4266424246896871e-05,0.010326251313063599
ENSG00000171291.9,ZNF439,237.08351323173989,1.4118867180908681,0.42713796935368609,3.2391355372413072e-05,0.0134555232662497
ENSG00000225783.9,MIAT,10925.542355997241,-0.79835558808707119,0.2399889837396055,3.3772805757175257e-05,0.013703119582452
ENSG00000102755.13,FLT1,104.5164342114326,2.2085421578625488,0.79901641882976338,3.483060715061779e-05,0.013811127339927899
ENSG00000259209.3,ENSG00000259209,34.428160264982381,-1.0901390256047669,0.33700910172033322,4.3750786993916717e-05,0.016962666237396999
ENSG00000171223.6,JUNB,496.53808008807152,1.063338645512119,0.33709377948751551,4.7771131156260447e-05,0.0181187592452886
ENSG00000259280.2,ENSG00000259280,53.255841098439639,-1.4076226659981801,0.44271414490407651,4.9086087590660823e-05,0.018221382344558699
ENSG00000152785.8,BMP3,118.7831589035293,1.3134583487112701,0.42477001097113137,5.1560520086458947e-05,0.018741174873926
ENSG00000184489.13,PTP4A3,397.17309688123061,1.0378733418061921,0.32727431656834233,5.3943678190532922e-05,0.0192072521100046
ENSG00000109906.15,ZBTB16,561.72843875230512,-0.90871502169096563,0.28894879669866352,5.7771971033132543e-05,0.019892666630525
ENSG00000137868.19,STRA6,253.08451077215409,1.544095873747791,0.50933798671325559,5.8149022648981467e-05,0.019892666630525
ENSG00000198914.5,POU3F3,1872.7780018307119,-1.207135136787884,0.40175964940493769,5.947711084730656e-05,0.019955714479864502
ENSG00000272674.4,PCDHB16,165.01461384472549,-1.4314676366951371,0.46801598971375868,6.6098728828418125e-05,0.021722514440434701
ENSG00000146426.19,TIAM2,409.79570567146101,-0.48279237001065628,0.15227117035689189,6.7233093356076977e-05,0.021722514440434701
ENSG00000259867.6,DYNLRB2-AS1,61.075287221536527,-1.3800687086741119,0.46454523629125288,7.0150863718847187e-05,0.0220297607234934
ENSG00000165507.9,DEPP1,145.76739376048931,1.0214177168063381,0.33085739991696222,7.0709382731451421e-05,0.0220297607234934
ENSG00000126709.16,IFI6,811.2081615702042,0.78356528635185485,0.25766401579349102,8.0148152839129176e-05,0.024427593528595699
ENSG00000249669.12,CARMN,46.552547425811149,1.4422776734576199,0.48001370505924679,8.1205962323525736e-05,0.024427593528595699
ENSG00000154734.16,ADAMTS1,977.31112460793565,1.486780585847898,0.49808752837815917,8.9788787101046939e-05,0.026076299635582199
ENSG00000157404.17,KIT,1108.5774055676829,-1.0427952828661191,0.35400859228869558,9.0418201161582645e-05,0.026076299635582199
ENSG00000140057.9,AK7,746.81685023373973,1.0642722641582729,0.3543172172357919,9.1170646974867841e-05,0.026076299635582199
ENSG00000132321.17,IQCA1,144.13262473290979,1.040500754908998,0.34712066450378148,9.3329307089449356e-05,0.026263168077251899
ENSG00000006128.12,TAC1,8030.1719052243261,1.061436867931391,0.35826363689700658,9.8311874307817836e-05,0.0271147337852988
ENSG00000196876.19,SCN8A,2375.4352985744622,-0.56795235969793356,0.18775024795652009,9.9463687869497846e-05,0.0271147337852988
ENSG00000221869.5,CEBPD,381.02144099251439,1.310341624958175,0.45844718084157687,0.00010305741297619731,0.027662195141472501
ENSG00000185745.10,IFIT1,272.57806733072948,1.1389844495682639,0.3946581895661575,0.0001114812043653631,0.029469887463068001
ENSG00000132386.11,SERPINF1,3167.9992582098889,1.165635585083669,0.41293747122037711,0.0001296899389980269,0.033491953718201899
ENSG00000121057.13,AKAP1,1979.6531410255479,-0.6561429548327623,0.22914208857172749,0.00013162958661717589,0.033491953718201899
ENSG00000123360.12,PDE1B,135.72784202427229,-1.0290711782235249,0.37310930698349321,0.0001332891209746856,0.033491953718201899
ENSG00000173894.11,CBX2,1020.216152401415,-0.54011492206371881,0.18416085214853939,0.00013437477848765621,0.033491953718201899
ENSG00000225313.5,ENSG00000225313,83.135641494382426,-0.68770648375187859,0.2378303679405365,0.00014202591388136121,0.0346823713128021
ENSG00000163191.6,S100A11,444.00402559077412,0.87953956431098945,0.31135852839067318,0.00014422091041931871,0.0346823713128021
ENSG00000198759.12,EGFL6,1253.705184709263,1.1110824411146381,0.39999542060907678,0.00014523432741138281,0.0346823713128021
ENSG00000130287.14,NCAN,2719.3097262386082,-0.87505516195711508,0.31647358531937081,0.00014951644178511439,0.0346823713128021
ENSG00000198732.11,SMOC1,761.02557857881322,-1.0899838055883131,0.39628698184274519,0.00014976159389824459,0.0346823713128021
ENSG00000119938.9,PPP1R3C,640.91531843748794,0.70889424226611997,0.24760511819890299,0.00015171672393648339,0.0346823713128021
ENSG00000293464.1,ENSG00000293464,427.08624917340097,0.64433775637500224,0.22543687639256249,0.00015306600510607909,0.0346823713128021
ENSG00000123119.12,NECAB1,1067.5601064421171,0.74061641658881083,0.25999425595845821,0.0001580226732094841,0.035346430506229001
ENSG00000140557.12,ST8SIA2,1439.7360796233179,-1.0407357670313351,0.3814008369882006,0.00016166931713801851,0.035704361722873501
ENSG00000165475.15,CRYL1,690.16110658282969,0.45091306012158289,0.15548428556111971,0.00016373490588540189,0.035708536287282502
ENSG00000184557.4,SOCS3,2414.3875163628181,1.203101974461666,0.44047121129142308,0.00016964462230741051,0.036540613893794899
ENSG00000182963.11,GJC1,1568.9529501686411,-0.67493501308211434,0.2404506288801124,0.00017640319742972131,0.037533007140931003
ENSG00000233639.9,PANTR1,236.57555810113121,-1.384650293872945,0.50560980981499459,0.0001864607355531678,0.039194945219230302
ENSG00000163659.13,TIPARP,2727.66390082406,0.43643643734132098,0.1557086840380664,0.00019741736219987119,0.040218635459998202
ENSG00000196549.13,MME,1855.683120636309,1.3583889707925521,0.4996723580523893,0.00019869596332333479,0.040218635459998202
ENSG00000221818.9,EBF2,303.3850202952878,-1.025102276760389,0.3905778903939946,0.0001998558267976537,0.040218635459998202
ENSG00000288802.1,ENSG00000288802,146.8475014155392,0.64826710097745366,0.2332095116807211,0.000200551457844893,0.040218635459998202
ENSG00000186314.12,PRELID2,513.28313825869463,0.64241620384381659,0.23275770974137819,0.00021146250770188381,0.041924845134940499
ENSG00000170035.16,UBE2E3,3018.3052408328658,-0.56011096815218164,0.2088140250792721,0.00022902450520456501,0.044896522947236402
ENSG00000076716.9,GPC4,1546.7368984418631,-0.85004683748783594,0.32606499441239029,0.00024215752129499061,0.046712515264451297
ENSG00000149591.17,TAGLN,1405.5433785555269,1.445076059770974,0.63072555592992208,0.0002436429695113813,0.046712515264451297
ENSG00000240563.2,L1TD1,25.69013287290295,1.6392200761095801,0.62694343352056525,0.00028142238979600762,
ENSG00000134107.5,BHLHE40,1090.789304482809,0.82774654078218546,0.31899773010618632,0.00028965681141156652,0.0542029736408038
ENSG00000250131.2,AGA-DT,533.64192774966762,0.95038366279488096,0.37855807229538901,0.00029373017459947813,0.0542029736408038
ENSG00000092010.15,PSME1,1530.877874570949,0.47155753371670911,0.17631264622927911,0.00029551898641883619,0.0542029736408038
