gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000004779.10,NDUFAB1,795.20217831295622,0.90467132477319157,0.14901236440349211,6.8672043448637578e-11,4.6263827424859071e-08
ENSG00000105963.15,ADAP1,242.71850405578411,1.8235204640763001,0.30183576051219552,7.1324006781136022e-11,4.6270788991791807e-08
ENSG00000125534.10,PPDPF,3632.803025316276,1.4766617100786561,0.24571444492766439,8.8745716422660742e-11,5.5516784602118768e-08
ENSG00000162078.12,ZG16B,38.57385587432875,2.819215366367172,0.46962476696336919,1.1761390783073429e-10,7.1038800329763513e-08
ENSG00000268916.6,CSAG3,31.276364653183329,9.0684408973386095,2.8028468660122852,1.661720078306135e-10,9.7022296305367562e-08
ENSG00000146707.15,POMZP3,300.16193214169579,-1.1723459783758889,0.2003773977303705,2.3415087803059469e-10,1.3230279934141609e-07
ENSG00000109046.15,WSB1,2979.4639053580449,0.97096390360200435,0.16699853965055669,3.1665312596742619e-10,1.7332800482641999e-07
ENSG00000275993.4,ENSG00000275993,437.55142499664748,-1.994306241198246,0.34685012896252843,3.9578314086985701e-10,2.0618923858688799e-07
ENSG00000203930.13,LINC00632,1252.780290659653,0.70006248283431405,0.12074113519600919,4.0023031011384979e-10,2.0618923858688799e-07
ENSG00000130511.16,SSBP4,731.02704259773316,1.0358611755521629,0.18116975460647011,5.4983760006078278e-10,2.7517015436184768e-07
ENSG00000169248.13,CXCL11,52.855466079686927,5.1546029085855753,0.89860750668052536,7.0067870642345926e-10,3.4091911726981428e-07
ENSG00000006071.16,ABCC8,538.91778886035377,1.0395040614760529,0.18396118935032041,7.9817598790950806e-10,3.7786082714116059e-07
ENSG00000221946.8,FXYD7,197.7377512945661,1.754331884960181,0.31180168857192608,8.3350561043038066e-10,3.8420221769206722e-07
ENSG00000110841.14,PPFIBP1,712.52904354614122,-0.65278815437490234,0.115408231887312,9.4659245665529244e-10,4.2199040223638928e-07
ENSG00000116745.7,RPE65,81.432254776396945,4.0509260664947488,0.7211739176781472,9.6366842255398346e-10,4.2199040223638928e-07
ENSG00000105397.15,TYK2,809.49736445141514,0.58252875267796189,0.10358202741773979,1.255501070031186e-09,5.2873421911373106e-07
ENSG00000255085.9,ENSG00000255085,45.675467605604751,6.6932732193690452,1.110510495505328,1.2708985945199609e-09,5.2873421911373106e-07
ENSG00000112763.17,BTN2A1,1436.2182127137421,-0.63182507868723359,0.11274465806544839,1.29798877722599e-09,5.2873421911373106e-07
ENSG00000145335.17,SNCA,10249.78589724395,0.94987890594468205,0.17107691603192779,1.6180835622015639e-09,6.4414435626187693e-07
ENSG00000198840.2,MT-ND3,3173.2189011262922,-0.50341287162172887,0.090870243677606294,2.2173965789189931e-09,8.5582678708016913e-07
ENSG00000112852.7,PCDHB2,2050.8599209924801,-1.17318119932062,0.2148727740667955,2.2475469402653448e-09,8.5582678708016913e-07
ENSG00000245105.4,A2M-AS1,122.4667167418375,-2.1483336416039478,0.3979487840885958,2.869472921827037e-09,1.0693976106111151e-06
ENSG00000180902.18,D2HGDH,240.1963615328597,1.40794863595632,0.26219339496579341,3.7416304874046898e-09,1.339016004828484e-06
ENSG00000290885.1,ENSG00000290885,36.731014826462157,7.1920146046989988,1.380526275500636,3.7458200637471874e-09,1.339016004828484e-06
