"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"235","9","Monarch Phenotype","","Retinal degeneration","9.2E-4","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|AIPL1|PROM1|PRCD|CYP2D6","13575","13759|13895|13879|13919|13851|13651|13775|13947|13631","2.65E-6","","HP:0000546","0.5181142535145874","0"
"241","9","Monarch Phenotype","","Ophthalmoplegia","0.0011","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947","3.23E-6","","HP:0000602","0.5048713769670091","0"
"318","10","Monarch Phenotype","","Obesity","0.0013","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947|13803","3.96E-6","","HP:0001513","0.4924909724978362","0"
"223","10","GO Biological Process","","Visual perception","0.0028","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|PCARE|AIPL1|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13967|13651|13947","1.77E-7","","GO:0007601","0.43562957254580825","0"
"37","5","Pfam","","Cadherin C-terminal cytoplasmic tail, catenin-binding region","0.0039","PCDHGA10|PCDHGA6|PCDHGA5|PCDHGA7|PCDHGA4","13575","13899|13959|13607|13975|13911","1.69E-6","","PF15974","0.411072643123015","0"
"42","5","Pfam","","Cadherin cytoplasmic C-terminal","0.0039","PCDHGA10|PCDHGA6|PCDHGA5|PCDHGA7|PCDHGA4","13575","13899|13959|13607|13975|13911","2.99E-6","","PF16492","0.411072643123015","0"
"453","11","Monarch Phenotype","","Reduced visual acuity","0.004","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|PCARE|AIPL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13967|13651|13775|13947","1.39E-5","","HP:0007663","0.4091963363942668","0"
"461","11","Monarch Phenotype","","Anteverted nares","0.0046","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|DVL1|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13967|13679|13775|13947|13803","1.62E-5","","HP:0000463","0.3988385568793837","0"
"659","13","Monarch Phenotype","","Abnormality of reproductive system physiology","0.0053","IMPG2|TULP1|GUCA1B|TTR|CNGB1|PKD1|RPE65|GAS8|ZNF513|PCARE|NBEAL2|PROM1|PRCD","13575","13759|13895|13879|13715|13919|13799|13851|13683|13935|13967|13823|13775|13947","1.91E-5","","HP:0000080","0.38834081479756777","0"
"303","9","Monarch Phenotype","","Glaucoma","0.0053","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947","1.92E-5","","HP:0000501","0.38834081479756777","0"
"471","11","Monarch Phenotype","","Abnormal nostril morphology","0.0053","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|DVL1|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13967|13679|13775|13947|13803","1.97E-5","","HP:0005288","0.38834081479756777","0"
"30","4","Monarch Phenotype","","Severely reduced visual acuity","0.0054","TULP1|RPE65|AIPL1|PROM1","13575","13895|13851|13651|13775","2.07E-5","","HP:0001141","0.38695553788231823","0"
"387","10","Monarch Phenotype","","Hypoplasia of penis","0.0054","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|DVL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13679|13775|13947","2.09E-5","","HP:0008736","0.38695553788231823","0"
"8","3","STRING Clusters","","Cadherin, C-terminal catenin-binding domain, and Domain of unknown function (DUF4596)","0.0079","PCDHGA10|PCDHGA6|PCDHGA5","13575","13899|13959|13607","1.72E-5","","CL:39124","0.3587593054318855","0"
"343","9","Monarch Phenotype","","Hypogonadism","0.0118","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13775|13947","4.92E-5","","HP:0000135","0.3290235851993362","0"
"37","5","InterPro Domains","","Cadherin, C-terminal catenin-binding domain","0.0122","PCDHGA10|PCDHGA6|PCDHGA5|PCDHGA7|PCDHGA4","13575","13899|13959|13607|13975|13911","1.69E-6","","IPR031904","0.3265530178540403","0"
"40","5","InterPro Domains","","Cadherin, cytoplasmic C-terminal domain","0.0122","PCDHGA10|PCDHGA6|PCDHGA5|PCDHGA7|PCDHGA4","13575","13899|13959|13607|13975|13911","2.4E-6","","IPR032455","0.3265530178540403","0"
"836","14","Monarch Phenotype","","Abnormal retinal morphology","0.0123","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|GAS8|ZNF513|PCARE|AIPL1|PROM1|PRCD|ABCC8|CYP2D6","13575","13759|13895|13879|13919|13851|13951|13683|13935|13967|13651|13775|13947|13803|13631","5.24E-5","","HP:0000479","0.32594803361959857","0"
"73","5","STRING Clusters","","Respiratory chain complex","0.0129","COX5B|NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13855|13867|13927|13887|13907","3.67E-5","","CL:11077","0.3224183114236194","0"
"36","4","STRING Clusters","","NADH dehydrogenase (ubiquinone) activity","0.013","NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13867|13927|13887|13907","3.99E-5","","CL:11080","0.3218460293739768","0"
"531","11","Monarch Phenotype","","Abnormal morphology of the nasal alae","0.0132","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|DVL1|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13919|13851|13935|13967|13679|13775|13947|13803","5.73E-5","","HP:0000429","0.32071455461487647","0"
"78","6","GO Biological Process","","Retina homeostasis","0.0164","TULP1|CNGB1|RPE65|AIPL1|ZG16B|PROM1","13575","13895|13919|13851|13651|13675|13775","3.13E-6","","GO:0001895","0.30462787001710834","0"
"753","13","Monarch Phenotype","","Sensorineural hearing impairment","0.0166","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|TPO|PCARE|GPC4|DVL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13615|13967|13859|13679|13775|13947","7.37E-5","","HP:0000407","0.3037295540830222","0"
"57","5","COMPARTMENTS","","Photoreceptor outer segment","0.0181","TULP1|GUCA1B|CNGB1|PROM1|PRCD","13575","13895|13879|13919|13775|13947","1.19E-5","","GOCC:0001750","0.29731834049492967","0"
"52","5","COMPARTMENTS","","Ciliary membrane","0.0181","CNGB1|PKD1|PROM1|PRCD|EHD1","13575","13919|13799|13775|13947|13783","7.87E-6","","GOCC:0060170","0.29731834049492967","0"
"463","10","Monarch Phenotype","","Wide nasal bridge","0.0198","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|ZNF513|PCARE|DVL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13935|13967|13679|13775|13947","9.09E-5","","HP:0000431","0.29066547172871093","0"
"146","6","Monarch Phenotype","","Optic disc pallor","0.0198","IMPG2|TULP1|RPE65|AIPL1|PROM1|PRCD","13575","13759|13895|13851|13651|13775|13947","9.2E-5","","HP:0000543","0.29066547172871093","0"
"98","6","GO Cellular Component","","Photoreceptor outer segment","0.0222","TULP1|GUCA1B|CNGB1|PCARE|PROM1|PRCD","13575","13895|13879|13919|13967|13775|13947","1.08E-5","","GO:0001750","0.28218650262181005","0"
"1146","16","Monarch Phenotype","","Abnormal posterior eye segment morphology","0.0254","IMPG2|TULP1|GUCA1B|TTR|CNGB1|RPE65|TYR|GAS8|ZNF513|PCARE|AIPL1|PROM1|IL11RA|PRCD|ABCC8|CYP2D6","13575","13759|13895|13879|13715|13919|13851|13951|13683|13935|13967|13651|13775|13659|13947|13803|13631","1.2E-4","","HP:0004329","0.27220705970048886","0"
"1288","17","Monarch Phenotype","","Hearing impairment","0.0292","IMPG2|TULP1|GUCA1B|TTR|CNGB1|RPE65|TYR|GAS8|ZNF513|TPO|PCARE|GPC4|DVL1|AIPL1|PROM1|PRCD|ABCC8","13575","13759|13895|13879|13715|13919|13851|13951|13683|13935|13615|13967|13859|13679|13651|13775|13947|13803","1.4E-4","","HP:0000365","0.26187465603148397","0"
"92","6","GO Biological Process","","Mitochondrial ATP synthesis coupled electron transport","0.0301","COX5B|NDUFV3|NDUFB2|NDUFC1|NDUFAB1|SNCA","13575","13855|13867|13927|13887|13907|13727","7.69E-6","","GO:0042775","0.25962493382612273","0"
"812","13","Monarch Phenotype","","Functional abnormality of the inner ear","0.0309","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|TPO|PCARE|GPC4|DVL1|PROM1|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13615|13967|13859|13679|13775|13947","1.5E-4","","HP:0011389","0.2576809493932153","0"
"18","3","STRING Clusters","","Synaptic membrane adhesion, and Adult fibrosarcoma","0.0336","LRFN1|LRFN4|GPC4","13575","13751|13767|13859","1.3E-4","","CL:23204","0.2514727501936756","0"
"77","5","GO Cellular Component","","Ciliary membrane","0.0377","CNGB1|PKD1|PROM1|PRCD|EHD1","13575","13919|13799|13775|13947|13783","4.67E-5","","GO:0060170","0.24294014932192298","0"
"78","5","COMPARTMENTS","","Mitochondrial respirasome","0.0379","COX5B|NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13855|13867|13927|13887|13907","4.95E-5","","GOCC:0005746","0.24254803117348217","0"
"45","4","COMPARTMENTS","","Mitochondrial respiratory chain complex I","0.0379","NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13867|13927|13887|13907","8.94E-5","","GOCC:0005747","0.24254803117348217","0"
"88","5","COMPARTMENTS","","Respiratory chain complex","0.0379","COX5B|NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13855|13867|13927|13887|13907","8.53E-5","","GOCC:0098803","0.24254803117348217","0"
"90","5","GO Cellular Component","","Respiratory chain complex","0.0386","COX5B|NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13855|13867|13927|13887|13907","9.43E-5","","GO:0098803","0.24119172900482921","0"
"94","5","GO Cellular Component","","Mitochondrial respirasome","0.0391","COX5B|NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13855|13867|13927|13887|13907","1.1E-4","","GO:0005746","0.24023791716262963","0"
"50","4","GO Cellular Component","","Mitochondrial respiratory chain complex I","0.0391","NDUFV3|NDUFB2|NDUFC1|NDUFAB1","13575","13867|13927|13887|13907","1.3E-4","","GO:0005747","0.24023791716262963","0"
"3","2","Monarch Phenotype","","Fundus atrophy","0.0437","RPE65|PCARE","13575","13851|13967","2.3E-4","","HP:0001099","0.23199496786401344","0"
"63","5","InterPro Domains","","Cadherin, N-terminal","0.045","PCDHGA10|PCDHGA6|PCDHGA5|PCDHGA7|PCDHGA4","13575","13899|13959|13607|13975|13911","1.88E-5","","IPR013164","0.22982247398673206","0"
"737","12","Monarch Phenotype","","Abnormality of the optic nerve","0.0462","IMPG2|TULP1|GUCA1B|CNGB1|RPE65|TYR|ZNF513|PCARE|AIPL1|PROM1|IL11RA|PRCD","13575","13759|13895|13879|13919|13851|13951|13935|13967|13651|13775|13659|13947","2.4E-4","","HP:0000587","0.22787209413121423","0"
"23","3","Monarch Phenotype","","Peripheral visual field loss","0.0477","CNGB1|RPE65|PROM1","13575","13919|13851|13775","2.6E-4","","HP:0007994","0.2255041560479253","0"
