"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"137","8","KEGG Pathways","","Measles","6.4E-6","FOS|STAT2|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|IFNA5","6293","6349|6325|6457|6421|6469|6417|6473|6441","1.91E-8","","hsa05162","0.5193820026016113","0"
"158","8","KEGG Pathways","","JAK-STAT signaling pathway","8.77E-6","LIF|STAT2|SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6325|6517|6457|6421|6469|6417|6441","5.47E-8","","hsa04630","0.505700040663396","0"
"157","8","KEGG Pathways","","Hepatitis C","8.77E-6","STAT2|SOCS3|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6517|6549|6457|6421|6469|6417|6441","5.22E-8","","hsa05160","0.505700040663396","0"
"98","7","STRING Clusters","","JAK-STAT signaling pathway","1.49E-5","LIF|SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6517|6457|6421|6469|6417|6441","4.23E-8","","CL:15943","0.4826813731587726","0"
"187","8","KEGG Pathways","","Kaposi sarcoma-associated herpesvirus infection","1.59E-5","FOS|STAT2|IFNA8|IFNA10|IFNA14|IFNA21|ZFP36|IFNA5","6293","6349|6325|6457|6421|6469|6417|6337|6441","1.9E-7","","hsa05167","0.47986028756795485","0"
"50","6","GO Biological Process","","Response to exogenous dsRNA","2.64E-5","IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6549|6457|6421|6469|6417|6441","2.36E-8","","GO:0043330","0.4578396073130169","0"
"35","5","WikiPathways","","Host-pathogen interaction of human coronaviruses - MAPK signaling","3.3E-5","BST2|JUNB|FOS|IFI27|IFITM2","6293","6405|6365|6349|6481|6493","1.69E-7","","WP4877","0.4481486060122113","0"
"29","5","Reactome Pathways","","TRAF6 mediated IRF7 activation","3.31E-5","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","7.26E-8","","HSA-933541","0.4480172006224281","0"
"17","5","GO Molecular Function","","Type I interferon receptor binding","3.49E-5","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","7.07E-9","","GO:0005132","0.445717457304082","0"
"18","5","DISEASES","","Hepatitis C","4.14E-5","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","9.01E-9","","DOID:1883","0.43829996588791015","0"
"26","5","GO Biological Process","","Natural killer cell activation involved in immune response","4.67E-5","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","4.46E-8","","GO:0002323","0.4330683119433888","0"
"711","14","GO Biological Process","","Cellular response to cytokine stimulus","4.75E-5","STAT2|SOCS3|ANKRD1|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|MME|PTP4A3|ZFP36|IFI27|IFNA5|IFITM2","6293","6325|6517|6489|6549|6457|6421|6469|6417|6409|6381|6337|6481|6441|6493","4.99E-8","","GO:0071345","0.43233063903751334","0"
"48","5","KEGG Pathways","","Autoimmune thyroid disease","4.8E-5","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","7.14E-7","","hsa05320","0.4318758762624412","0"
"17","5","InterPro Domains","","Interferon alpha/beta/delta","5.08E-5","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","7.07E-9","","IPR000471","0.4294136287716081","0"
"158","7","KEGG Pathways","","Hepatitis B","5.21E-5","FOS|STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6349|6325|6457|6421|6469|6417|6441","9.3E-7","","hsa05161","0.42831622767004757","0"
"100","6","KEGG Pathways","","Toll-like receptor signaling pathway","5.25E-5","FOS|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6349|6457|6421|6469|6417|6441","1.09E-6","","hsa04620","0.4279840696594043","0"
"163","7","KEGG Pathways","","Influenza A","5.25E-5","STAT2|SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6517|6457|6421|6469|6417|6441","1.14E-6","","hsa05164","0.4279840696594043","0"
