gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000123360.12,PDE1B,147.352157321584,-1.7902041417302199,0.48980527812269198,-3.6549302788072202,0.0002572518791584,0.14019237690115699
ENSG00000224747.1,MTCYBP21,33.5816338781474,-3.5047740315634099,0.95955397781745999,-3.6525032594155298,0.000259696298874,0.14019237690115699
ENSG00000110427.17,KIAA1549L,1554.81195979976,-1.6257074453312701,0.44559797646902899,-3.6483725940893401,0.00026390671990670001,0.14019237690115699
ENSG00000274173.1,LINC02967,32.142631708838699,4.0466765931277404,1.1108563584803901,3.6428441555336999,0.0002696421043537,0.14019237690115699
ENSG00000102802.10,MEDAG,542.96723278494198,3.1784217964993999,0.874213288458216,3.6357509528423502,0.00027717201525720003,0.14019237690115699
ENSG00000123243.15,ITIH5,1265.91624634812,-2.85675192921203,0.78578780678901095,-3.63552590728745,0.00027741411103,0.14019237690115699
ENSG00000221869.5,CEBPD,663.58565917280305,2.01847103909786,0.56265392296046501,3.58741129623243,0.00033397729469269999,0.165332392599216
ENSG00000204969.7,PCDHA2,322.51866106257199,-1.4686761970901601,0.41223471861955302,-3.5627183513516401,0.00036703440005140002,0.17347776951732599
ENSG00000157765.13,SLC34A2,580.50995866102403,6.6955271815341204,1.8829412051315799,3.55588754618933,0.00037670519413259999,0.17347776951732599
ENSG00000185885.17,IFITM1,2031.2056922107199,2.1434992746308299,0.60365438299941299,3.55087171566666,0.00038395751638840001,0.17347776951732599
ENSG00000081041.9,CXCL2,72.466456436525107,3.31647570441352,0.93430502745326405,3.5496712604165199,0.0003857124862145,0.17347776951732599
ENSG00000151715.8,TMEM45B,434.13971223238298,3.1801901597404099,0.89650834536149504,3.5473068111352299,0.00038919106752350002,0.17347776951732599
ENSG00000250091.3,DNAH10OS,445.88084334772901,-1.7051090206766599,0.48131895723436802,-3.5425760715391599,0.00039623912013920002,0.17347776951732599
ENSG00000011083.9,SLC6A7,35.852572577169298,-2.5331058089702099,0.71561892691060003,-3.5397412138131799,0.0004005195664194,0.17347776951732599
ENSG00000089250.20,NOS1,206.331065528664,-2.6181928357204902,0.74163410487770298,-3.5303026364358399,0.0004150845732797,0.17347776951732599
ENSG00000148926.10,ADM,306.63283944002097,1.9682707986649599,0.55800575469936398,3.52733064504935,0.00041977220235919999,0.17347776951732599
