gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000289298.2,ENSG00000289298,1.08171453413207,1.9094764830772999,2.0826659186213501,0.916842430657964,0.35922521471309299,
ENSG00000164323.15,CFAP97,3957.8083187349198,0.180412593167594,0.196794502417487,0.91675626580696001,0.35927037465524803,0.94741800100344098
ENSG00000183822.3,NCF4-AS1,1.27220803472945,2.05015858043088,2.2363702716570599,0.91673485666208299,0.359281595975882,
ENSG00000175946.9,KLHL38,3.7894755223485399,1.31227307671993,1.4315541104879901,0.91667724405653705,0.35931179395622298,
ENSG00000293447.1,TEX56P,4.3909616992110996,-0.99510091412647805,1.0855962020986301,-0.916640010533188,0.35933131097121102,
ENSG00000258699.1,ENSG00000258699,7.7587512445822799,-0.81233828698795696,0.88626126435558406,-0.91659008427793798,0.359357482289687,
ENSG00000166126.11,AMN,9.6525158492065302,0.77389727952732601,0.84444587844928198,0.91645574841159705,0.35942790703155297,
ENSG00000179051.14,RCC2,2400.8577596244099,-0.27166023638480502,0.29643999037278101,-0.91640886927295195,0.35945248516910699,0.94741800100344098
ENSG00000250138.4,ENSG00000250138,6.2459791827134099,1.01480808210042,1.10741093041969,0.91637896486702297,0.35946816422130801,
ENSG00000181097.5,LINC02878,6.9326351327523597,0.80509204377165999,0.87856277811193795,0.91637395053524895,0.35947079330639098,
ENSG00000185340.16,GAS2L1,223.82004181942099,0.37505745254836897,0.40928454693579602,0.916373352857624,0.359471106678031,0.94741800100344098
ENSG00000156453.14,PCDH1,971.09026029032304,-0.31479450815499999,0.34352669111942502,-0.91636113377159401,0.35947751337178602,0.94741800100344098
ENSG00000111843.14,TMEM14C,3623.7135011860701,0.22744026728907299,0.24821075926296399,0.91631913122716002,0.35949953663307999,0.94741800100344098
ENSG00000283361.3,CFAP97D2,49.638088015171903,0.57319665992500501,0.62558445485957703,0.91625783772659297,0.359531676273253,0.94741800100344098
ENSG00000212455.1,ENSG00000212455,0.57701712867001698,2.7802261845082499,3.0343772198115402,0.916242768485102,0.35953957820312599,
ENSG00000289380.1,ENSG00000289380,5.1948068692081302,1.1057579818143899,1.20684946543738,0.91623521696936905,0.359543538068403,
ENSG00000270829.1,ENSG00000270829,0.95218996144403101,2.1029854849459202,2.2953536445125402,0.91619236537842197,0.35956600911279302,
ENSG00000233893.2,EZR-AS1,2.44947293301338,-1.297496165089,1.4162484711094101,-0.91615009057881902,0.35958817855674702,
ENSG00000231304.2,SGO1-AS1,23.242142241109601,0.45745986932106802,0.49935619098209899,0.91609932465514898,0.35961480198908602,0.94741800100344098
ENSG00000116147.18,TNR,908.83874277745701,-0.36863692028391398,0.40240743536360302,-0.91607879946558401,0.359625566470471,0.94741800100344098
ENSG00000188163.8,CIMIP2A,4.9713115941201202,-0.953541936461203,1.0410741146898399,-0.91592128072965096,0.35970818425942302,
ENSG00000154065.17,ANKRD29,139.18074429369901,0.230954183754184,0.25217445308496,0.915850836311212,0.35974513586204399,0.94741800100344098
ENSG00000198252.12,STYX,2096.44104777846,0.16398515675377601,0.179060376222547,0.91580929412303802,0.35976692792429499,0.94741800100344098
ENSG00000138375.14,SMARCAL1,586.42674515096405,-0.18384619442484501,0.20076625521156399,-0.91572258610447799,0.35981241559813099,0.94741800100344098
ENSG00000147010.19,SH3KBP1,2689.02468528588,-0.25871173830857902,0.28253196995341401,-0.91569013712408198,0.359829439504256,0.94741800100344098
ENSG00000270986.1,HMGB1P51,2.1103048225834802,-1.2619541498451201,1.3782342259615299,-0.915631121382666,0.35986040258854002,
ENSG00000161649.14,CD300LG,5.8764004385109097,-1.14542035310337,1.2510509428302501,-0.91556651603018102,0.359894300225714,
ENSG00000237585.1,LINC00407,1.65621922590739,-1.52238015788888,1.66279368777223,-0.91555565136197403,0.35990000098100899,
ENSG00000152926.16,ZNF117,1400.2163241742501,-0.230026450968528,0.251250392027624,-0.91552673455426103,0.35991517407636597,0.94741800100344098
ENSG00000197849.7,OR8G1,1.95887538406858,1.4550246549653201,1.5893101324659,0.91550706513634705,0.35992549515310501,
ENSG00000267868.1,ENSG00000267868,41.171602556646398,-0.364965669288148,0.39865467389449499,-0.91549326569475298,0.35993273620509297,0.94741800100344098
ENSG00000266920.1,ACTBP9,3.3698157278626,1.00683048208314,1.09980672622334,0.91546128794877302,0.35994951640388401,
ENSG00000182836.11,PLCXD3,669.78452563879,-0.22760406189608501,0.24862986009166599,-0.91543333456476605,0.35996418523665702,0.94741800100344098
ENSG00000223626.1,LINC01044,0.93227893536683204,2.2313630072920398,2.4375196353958302,0.91542360311271498,0.359969292006737,
ENSG00000227110.7,LMCD1-AS1,151.76016488312101,0.21650423471616201,0.23651597215976899,0.91538948824103705,0.35998719481316399,0.94741800100344098
ENSG00000270911.1,ENSG00000270911,1.8955971703727801,-1.8023467507501401,1.9689503982109,-0.91538453807056497,0.359989792610663,
ENSG00000229147.1,SMPD4P2,2.7964842067875799,1.09258776139595,1.1935909255664601,0.91537874324692003,0.35999283368823598,
ENSG00000254006.5,ENSG00000254006,1.5253488840509599,1.7217396298065999,1.88097592796027,0.91534378734641897,0.36001117861023102,
ENSG00000223614.6,ZNF735,0.99940733025167405,-2.25924791193657,2.4683826662455401,-0.91527458154327801,0.360047499676658,
ENSG00000168065.16,SLC22A11,8.7581120023455501,0.81956666808663603,0.895456414517252,0.91525020626321796,0.36006029302696901,
ENSG00000257523.3,LINC02326,2.2471661124638298,-1.4689548305037401,1.6049986501707401,-0.91523742424797205,0.36006700177365603,
ENSG00000119383.21,PTPA,2990.4979410904598,0.197176547867115,0.21544334086581199,0.91521300716333098,0.36007981750114998,0.94741800100344098
ENSG00000290569.1,ENSG00000290569,5.7743281142589904,1.0619271677344899,1.1603453219828801,0.91518201316122005,0.36009608564957102,
ENSG00000139428.12,MMAB,1091.9070990539501,-0.18600916527675401,0.2032500591675,-0.91517397849051496,0.36010030296715001,0.94741800100344098
ENSG00000232546.1,ENSG00000232546,9.4317591310550792,0.81009271249301096,0.88519443507101503,0.91515793637814802,0.36010872340282601,
ENSG00000100968.14,NFATC4,718.338377342792,0.37880538781623202,0.41394522913276799,0.91510992555668402,0.36013392481481399,0.94741800100344098
ENSG00000206600.1,RNU6-25P,15.5122744672683,0.56987682990232302,0.62276879215541103,0.91506966482692897,0.36015505897139199,0.94741800100344098
ENSG00000221598.3,MIR1249,2.1845440024676401,1.77545277068476,1.94024082933048,0.915068245057711,0.36015580426829502,
ENSG00000134697.13,GNL2,2012.0419064076,0.23702496550649299,0.25902590111177998,0.91506279676721303,0.36015866431536597,0.94741800100344098
ENSG00000288667.1,ENSG00000288667,0.92180557829196297,-2.49936893971064,2.73141050017666,-0.915046983801588,0.360166965316565,
ENSG00000070159.14,PTPN3,796.02821795788395,0.27855461656521602,0.30444552891732601,0.91495716017186002,0.36021412042414502,0.94741800100344098
ENSG00000285492.2,ENSG00000285492,11.801908117684601,-0.63381967916817805,0.69275625444328304,-0.91492451364085103,0.360231259977978,
ENSG00000230327.1,MTCO1P42,6.0555950200453603,-0.75856582531999195,0.82910272520779305,-0.91492381131647704,0.36023162870658998,
ENSG00000264834.1,ENSG00000264834,5.74358184138267,-0.68843311195148804,0.75248180056467195,-0.91488340506691301,0.36025284286496001,
ENSG00000143919.16,CAMKMT,383.13833065948398,-0.18949333809643301,0.20712885432860301,-0.91485726945512102,0.36026656504632298,0.94741800100344098
ENSG00000207523.1,SNORA66,203.75385279428801,0.36269371203093498,0.39645947392205599,0.91483174419547497,0.360279967086504,0.94741800100344098
ENSG00000167815.12,PRDX2,4234.3563351820803,0.17902016979680799,0.19568976824412301,0.91481619812376003,0.36028812970639201,0.94741800100344098
ENSG00000185972.6,CCIN,5.9899529923797896,0.85520453849841005,0.93488580135147803,0.91476898810755203,0.36031291850745201,
ENSG00000230648.1,ENSG00000230648,19.4588262533373,0.65930283869512296,0.72074732449274304,0.91474892280611098,0.36032345462057203,0.94741800100344098
ENSG00000239480.1,ENSG00000239480,3.8039425207673099,0.95345198920340801,1.0423835756745501,0.91468439397311496,0.36035733945363002,
ENSG00000164299.7,SPZ1,3.4375878608624202,-1.1256793721082901,1.23069079374698,-0.91467278200808999,0.36036343724247999,
ENSG00000111305.19,GSG1,16.068125215564301,-0.59344787866610205,0.64881353248292095,-0.91466630850786601,0.36036683669846398,0.94741800100344098
ENSG00000203436.2,Metazoa_SRP,1.28742241359959,2.0030430189005402,2.1900196199740898,0.91462332146788805,0.36038941117142598,
ENSG00000274750.3,H3C6,2248.69010739237,0.32766513384982598,0.35827136340235399,0.91457249258809303,0.36041610490057602,0.94741800100344098
ENSG00000145990.11,GFOD1,1578.3640290483199,-0.261260105569117,0.28567257795305601,-0.91454387201297804,0.360431136072631,0.94741800100344098
ENSG00000274588.2,DGKK,415.81502402994403,0.35687832614943299,0.39022572208011802,0.91454331674261402,0.36043142769764902,0.94741800100344098
ENSG00000228842.3,PCDH9-AS2,12.195205384123,0.82548335717910504,0.90264347700751002,0.91451761210947902,0.360444927795254,
ENSG00000256745.1,ARPC3P3,6.3438340007354199,0.68027266944305798,0.74388448822159703,0.91448696701470999,0.36046102304268801,
ENSG00000176826.16,FKBP9P1,3.71257533340746,1.0465238929060099,1.14441932136608,0.914458427402985,0.360476012865591,
ENSG00000130731.16,METTL26,677.04739033417104,0.184977437933283,0.20228989001408201,0.91441761088706097,0.36049745155065799,0.94741800100344098
ENSG00000240731.1,ENSG00000240731,24.5385375188091,-0.50523152371413504,0.55251876733303695,-0.91441513589275303,0.36049875155563299,0.94741800100344098
ENSG00000233997.5,LINC01425,1.39456365405048,2.23934638387338,2.4489399375787801,0.91441457975787599,0.36049904366907598,
ENSG00000260884.1,PCHILR,13.1032062466941,-0.57836336711861802,0.63251486445942495,-0.91438699644302102,0.36051353217010601,
ENSG00000279212.1,ENSG00000279212,12.6614464449643,-0.62077988057607003,0.67898347915471502,-0.91427832875830195,0.36057061486474201,
ENSG00000234052.2,LINC01673,1.5189357230757199,-1.60899490931744,1.7599206417495099,-0.91424287615489397,0.36058923920072899,
ENSG00000223718.3,RPL15P11,1.8441890501026901,1.30735592531534,1.43002823939185,0.91421685901204697,0.36060290718499299,
ENSG00000138382.15,METTL5,2114.3168737422502,0.227174039594463,0.248492931317077,0.91420725084766696,0.36060795487139502,0.94741800100344098
ENSG00000158864.13,NDUFS2,3211.1487833041301,0.176433458489786,0.193014306928524,0.91409523624132805,0.36066680545060298,0.94741800100344098
ENSG00000253731.3,PCDHGA6,22.244264933709999,-0.55438238563781495,0.606543749646967,-0.91400230562179197,0.36071563419957697,0.94741800100344098
ENSG00000239809.1,ENSG00000239809,3.44437848873915,-0.95784092562474399,1.04801268253645,-0.91395928845682795,0.360738238211741,
ENSG00000155287.12,SLC25A28,275.37127436868298,-0.175224779757574,0.191727340125838,-0.91392693208264697,0.36075524093771399,0.94741800100344098
ENSG00000249951.1,ENSG00000249951,0.86074424248626202,2.4482759827348701,2.6789083309703501,0.91390808503255605,0.36076514497468498,
ENSG00000215274.6,GAGE10,1.67458557492501,1.39275811641111,1.52399540957153,0.91388603119393996,0.36077673438068097,
ENSG00000138271.6,GPR87,3.5305990416554698,1.2704497296427799,1.39018974162916,0.91386786393197095,0.36078628154605602,
ENSG00000100519.12,PSMC6,3074.8986917509401,0.25326753883481701,0.27716810407746501,0.913768702491221,0.36083839514633598,0.94741800100344098
ENSG00000123136.15,DDX39A,1103.0825142715701,-0.26003933438066901,0.28458022696879698,-0.91376458986794395,0.36084055660866599,0.94741800100344098
ENSG00000264582.2,RN7SL326P,4.83785897835517,0.81719140554632497,0.89442279379126899,0.91365225843856701,0.36089959753071099,
ENSG00000236094.3,LINC00545,4.3940481137843799,0.90159261070414098,0.98682917483529897,0.91362581660054398,0.36091349612953699,
ENSG00000203616.2,RHOT1P2,0.99705937432152203,2.14861851651726,2.3518358365610501,0.91359204716391296,0.36093124681546401,
ENSG00000261007.2,NPM1P3,3.05841810499681,-1.03972587606653,1.1381148474798899,-0.91355092886168698,0.36095286112442998,
ENSG00000158014.15,SLC30A2,16.476950004815802,-0.51232009304963899,0.56081976926894095,-0.91352003107429003,0.36096910343639199,0.94741800100344098
ENSG00000293229.1,ENSG00000293229,6.3410109831524899,-0.86757938092961595,0.94971386096664701,-0.91351660388168698,0.36097090506715102,
ENSG00000201938.1,Y_RNA,3.0057920417408499,1.43485802368876,1.5707102059507201,0.91350907268108705,0.36097486414157198,
ENSG00000215586.2,ENSG00000215586,0.84459420851340095,-1.90843911624124,2.0891350166935601,-0.913506834642835,0.36097604066043099,
ENSG00000260910.2,SWINGN,15.7029671550291,-0.64301883244910996,0.70395745612046801,-0.91343422369983396,0.361014212958992,0.94741800100344098
ENSG00000185924.7,RTN4RL1,533.558976337285,-0.27531319277783201,0.30140827986633101,-0.91342279283080297,0.36102022251177202,0.94741800100344098
ENSG00000256826.1,ATP5MFP4,2.0937207528776001,-1.3207825535517099,1.4460108122017299,-0.91339742580531402,0.36103355894666,
ENSG00000118096.10,IFT46,2765.13262170095,0.20889306768350299,0.22871905270137399,0.91331730005126599,0.36107568621087699,0.94741800100344098
ENSG00000238043.1,ENSG00000238043,14.8813466983963,0.86808189127258595,0.95051386807251903,0.91327640808956301,0.36109718693433701,0.94741800100344098
ENSG00000255359.3,CCDC179,0.78516774130821099,2.2208100909163,2.4317825696642399,0.91324369152910301,0.36111438966402198,
ENSG00000189410.12,SH2D5,110.51603384538301,-0.30329614211273598,0.33212390200882103,-0.91320179089272602,0.36113642223317399,0.94741800100344098
ENSG00000159915.13,ZNF233,207.033808347719,-0.287990606025254,0.31536484768293799,-0.913198183441149,0.36113831917519701,0.94741800100344098
ENSG00000198765.12,SYCP1,0.76406533409989896,-2.8052626137643402,3.07194268269006,-0.91318846200209802,0.36114343112697,
ENSG00000259823.6,LYPD8,1.6083737394645401,-1.8047174709024401,1.97631243565019,-0.91317417142532797,0.36115094581073398,
ENSG00000166866.13,MYO1A,6.7378887778947201,0.96728873586400299,1.0592851396699901,0.91315237006473204,0.36116241022066897,
ENSG00000137252.10,HCRTR2,243.39682391969001,-0.25095850872678699,0.274828028725562,-0.91314743219800598,0.361165006866839,0.94741800100344098
ENSG00000274967.1,Y_RNA,1.8159662789825399,-1.7474321998995499,1.91364461534212,-0.91314353035563001,0.36116705871341798,
ENSG00000100142.16,POLR2F,1703.8052226008899,0.20135640584813599,0.22053387930906901,0.91304069233708696,0.36122114037524,0.94741800100344098
ENSG00000188305.6,PEAK3,1.9584536278408,-1.34772728710874,1.47616719784076,-0.91299094647280599,0.36124730313546399,
ENSG00000270689.1,BUD13P1,16.0169749214174,-0.61712959859264904,0.67594795654194895,-0.91298389560905602,0.36125101148073702,0.94741800100344098
ENSG00000230649.3,ENSG00000230649,1.6058828591215999,1.4108963194981901,1.5457481045806201,0.91275953392224196,0.36136902517681002,
ENSG00000225208.1,ENSG00000225208,5.3310508236402097,-0.72939332834345805,0.79916225051877898,-0.91269742517238395,0.36140169849826098,
ENSG00000178104.22,PDE4DIP,5545.0178363908299,0.25733729440028902,0.28196173255115697,0.91266744629468399,0.36141747003889402,0.94741800100344098
ENSG00000264116.6,ENSG00000264116,6.35530954152087,0.85783743855356298,0.93994143209913195,0.91264988355475496,0.36142670979358299,
ENSG00000257557.2,PPP1R12A-AS1,49.391430628410298,0.36529702824301702,0.40028706498534899,0.91258764071326404,0.36145945693513498,0.94741800100344098
ENSG00000146250.7,PRSS35,802.71381552447303,-0.49189455279877797,0.53904371253924499,-0.91253184362662498,0.36148881442376801,0.94741800100344098
ENSG00000263266.2,RPS7P1,20.112220110429899,-0.41040757757388502,0.44975422954889099,-0.91251521522216394,0.36149756370364,0.94741800100344098
ENSG00000266456.1,ENSG00000266456,51.612924914933302,-0.45515774804327302,0.498802049367703,-0.91250176020777396,0.36150464335477001,0.94741800100344098
ENSG00000201544.1,SNORA16B,0.85035542349335802,2.48930826589624,2.7282944929200301,0.91240453417181899,0.36155580355086098,
ENSG00000214124.3,SNRPEP9,0.66460537496087801,-2.6582325751683902,2.91369363555896,-0.91232398036880102,0.36159819428059498,
ENSG00000207450.1,Y_RNA,0.66460537496087801,-2.6582325751683902,2.91369363555896,-0.91232398036880102,0.36159819428059498,
ENSG00000287863.1,ENSG00000287863,0.66460537496087801,-2.6582325751683902,2.91369363555896,-0.91232398036880102,0.36159819428059498,
ENSG00000158901.12,WFDC8,3.02090614734814,-1.2097247508467299,1.3260041102154601,-0.91230844725675098,0.36160636880237301,
ENSG00000264071.2,RN7SL531P,0.91211060542669398,-2.4994960094734702,2.73978061162261,-0.91229786752639197,0.36161193660270302,
ENSG00000162194.13,LBHD1,54.997567935885399,0.29939167930037203,0.32818085511158401,0.91227649217556095,0.361623185983939,0.94741800100344098
ENSG00000242142.1,SERBP1P3,1.25646672786317,1.9906759536904399,2.1824730150092,0.91211938933505998,0.36170587251564901,
ENSG00000242860.3,RN7SL180P,1.30587627471103,-1.6532125388186401,1.8125091473738799,-0.91211265952172504,0.361709414822732,
ENSG00000250428.1,MRS2P1,1.6225022539403799,-1.8312241678383701,2.0077718022359798,-0.91206787833109604,0.36173298642083901,
ENSG00000162733.19,DDR2,1447.3786735630499,-0.49160033280264798,0.53900069580666898,-0.91205880925054905,0.36173776025486898,0.94741800100344098
ENSG00000280022.1,ENSG00000280022,10.899231363002601,-0.53304273373347499,0.584548675386663,-0.91188767707134399,0.36182784918407301,
ENSG00000111729.15,CLEC4A,1.60013801078252,-1.5326641927740501,1.68080013723377,-0.91186581844077796,0.36183935721209698,
ENSG00000149970.16,CNKSR2,1559.9198965391799,-0.33859657291505002,0.371329281862257,-0.91184991180052,0.36184773180872398,0.94741800100344098
ENSG00000117000.9,RLF,3121.96875070035,0.19649550839990601,0.21549437072025299,0.91183592287424298,0.36185509685940198,0.94741800100344098
ENSG00000253663.1,NPM1P52,1.3386563742270401,1.8060519087770699,1.9808883051963599,0.91173838728783796,0.36190645112691899,
ENSG00000276524.1,LINC03065,2.34480570973796,1.3310540146777601,1.4600067650135999,0.91167660765281899,0.36193898159555199,
ENSG00000285876.1,ENSG00000285876,110.353904600595,0.55638519525310204,0.610305428306538,0.91165041215010501,0.36195277556104799,0.94741800100344098
ENSG00000238247.2,RDXP3,2.9934126360123399,0.87508170470775004,0.96010158798162604,0.91144699234108295,0.36205990309139502,
ENSG00000268738.3,HSFX2,2.3622187507309902,-1.4056957006814601,1.54229246957891,-0.91143264225705201,0.362067461065472,
ENSG00000159753.15,CARMIL2,219.28733336061299,0.27741766389127198,0.304393392125625,0.91137873248174694,0.36209585541898198,0.94741800100344098
ENSG00000200201.1,Y_RNA,0.83138990692048198,2.8255332769353401,3.1003066115982598,0.91137220633759597,0.36209929284283499,
ENSG00000213854.3,CNN2P6,1.4438779176341401,-1.5835713760007399,1.73759184063577,-0.91135981360347795,0.36210582034914301,
ENSG00000162494.6,LRRC38,2.9630486600752599,-0.984122123772044,1.0798904602453101,-0.91131661960278099,0.36212857208827098,
ENSG00000122008.16,POLK,1919.8087337792199,0.224945540049131,0.24685468066079599,0.91124680904159205,0.36216534556229302,0.94741800100344098
ENSG00000251350.2,LINC02475,1.8399679527307,-1.48431000665072,1.62898491725908,-0.91118707786945696,0.362196811465407,
ENSG00000267581.1,ENSG00000267581,1.7718134487228201,-1.5722070348148101,1.72548139909326,-0.911170086006727,0.362205762955505,
