Unnamed: 0,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,abs_log2FC
ENSG00000170638.10,TRABD,192.669476368729,1.18038967920692,0.192192599725568,6.14170202646929,8.164190209777591e-10,3.01591233897488e-07,Up-regulated,1.18038967920692
ENSG00000117335.21,CD46,1879.31008086228,0.846482188754857,0.138763043262075,6.10019907934816,1.0593644099365602e-09,3.84221840898447e-07,Not Significant,0.846482188754857
ENSG00000230453.11,ANKRD18B,41.9847059754885,2.62017969785923,0.430330143881796,6.08876634628446,1.1378403520244e-09,4.05314988253262e-07,Up-regulated,2.62017969785923
ENSG00000006071.16,ABCC8,537.61804828266,1.09685850309957,0.180683323632496,6.07061283270693,1.27423051370694e-09,4.45935969954843e-07,Up-regulated,1.09685850309957
ENSG00000167615.18,LENG8,2237.04502075163,1.23066745717181,0.204122069017912,6.02907594995922,1.6489978526563602e-09,5.67141537323949e-07,Up-regulated,1.23066745717181
ENSG00000290885.1,ENSG00000290885,40.5601698995646,7.64976065635435,1.27250804213686,6.0115617371726,1.8374451013874701e-09,6.21165999747861e-07,Up-regulated,7.64976065635435
ENSG00000105397.15,TYK2,796.694565332551,0.612494256569671,0.101975745124316,6.00627390192636,1.89835390058532e-09,6.21165999747861e-07,Not Significant,0.612494256569671
ENSG00000169248.13,CXCL11,53.2497770605149,5.44894176003535,0.915984948271432,5.94872412512687,2.70240666855533e-09,8.55676321021297e-07,Up-regulated,5.44894176003535
ENSG00000138640.15,FAM13A,700.727746557632,1.04090608565161,0.177185639204408,5.87466394187163,4.237019872943e-09,1.28060715796162e-06,Up-regulated,1.04090608565161
ENSG00000245532.11,NEAT1,3081.01922133829,1.13365182036836,0.192931179273302,5.87593889509407,4.2045340796220506e-09,1.28060715796162e-06,Up-regulated,1.13365182036836
ENSG00000290682.1,STAG3L5P,148.217299440681,1.72257585742237,0.294540741711365,5.84834494343199,4.964881466156e-09,1.47820082816239e-06,Up-regulated,1.72257585742237
ENSG00000282508.2,LINC01002,140.560770020909,0.997153321323755,0.170998122036159,5.83137001418589,5.49741278867547e-09,1.58931000447099e-06,Not Significant,0.997153321323755
ENSG00000137070.19,IL11RA,68.455368292283,1.74991141642408,0.30136962018514,5.80652892401383,6.3781258589771e-09,1.81758363764108e-06,Up-regulated,1.74991141642408
ENSG00000243978.9,RTL9,455.52058575795,1.19217187327785,0.207056966051393,5.75769990265359,8.5267765641066e-09,2.36239081806664e-06,Up-regulated,1.19217187327785
ENSG00000141013.17,GAS8,692.478019118407,0.972144941842241,0.168941449144596,5.75433054921998,8.6985806701085e-09,2.37697653708663e-06,Not Significant,0.972144941842241
ENSG00000008710.20,PKD1,3311.28484916981,0.906353577448706,0.157832227002658,5.74251275966245,9.3281847485073e-09,2.48104839150965e-06,Not Significant,0.906353577448706
ENSG00000226450.2,CYP2D8P,28.0505260101465,2.06693727557867,0.36058634101562,5.73215632560284,9.916181406381861e-09,2.56893489213643e-06,Up-regulated,2.06693727557867
ENSG00000184967.7,NOC4L,302.302035629931,0.79435464166361,0.139549439421338,5.69228113676067,1.25353227440194e-08,3.13909982945267e-06,Not Significant,0.79435464166361
ENSG00000145335.17,SNCA,10239.4890349432,1.00160820881715,0.176061681512982,5.68896196043257,1.27813934073202e-08,3.1476942677682e-06,Up-regulated,1.00160820881715
ENSG00000125618.18,PAX8,52.384838986689,6.55670886145162,1.15782456189127,5.66295540555941,1.48787837121665e-08,3.6195363108573e-06,Up-regulated,6.55670886145162
ENSG00000164627.18,KIF6,143.301454418526,1.13479770826018,0.200737434709742,5.65314441674044,1.57538831576565e-08,3.7862465208305e-06,Up-regulated,1.13479770826018
ENSG00000251562.11,MALAT1,10090.1852687435,1.39396896140096,0.246876561134163,5.64642084690826,1.63822537260818e-08,3.89039520628428e-06,Up-regulated,1.39396896140096
ENSG00000118271.12,TTR,10473.7255099096,3.91734128264647,0.696785237422613,5.62202106510838,1.88736243704432e-08,4.32748343611036e-06,Up-regulated,3.91734128264647
ENSG00000168026.19,TTC21A,191.85944401409,1.17071363798679,0.208313003371389,5.61997388084121,1.90986330218576e-08,4.32931285818199e-06,Up-regulated,1.17071363798679
ENSG00000157353.17,FCSK,253.780957625761,0.706378830261334,0.127460294603258,5.54195196598326,2.991183677827e-08,6.48566652231446e-06,Not Significant,0.706378830261334
ENSG00000073605.19,GSDMB,150.901389078408,0.99749889049239,0.1807678167142,5.51812213381695,3.42641277568827e-08,7.2712853244074e-06,Not Significant,0.99749889049239
ENSG00000145214.14,DGKQ,835.909597810821,0.611553069043151,0.111316388881072,5.49382777496061,3.93314073335463e-08,8.0884836442225e-06,Not Significant,0.611553069043151
ENSG00000160867.15,FGFR4,132.075033998862,1.51835657987559,0.276335624273141,5.49461034518947,3.91574026740166e-08,8.0884836442225e-06,Up-regulated,1.51835657987559
ENSG00000240038.8,AMY2B,132.43348261042,1.31490641388836,0.241042987222894,5.45507018908814,4.89535048482299e-08,9.86388398699485e-06,Up-regulated,1.31490641388836
ENSG00000203930.13,LINC00632,1295.06714664297,0.735075193004836,0.135571247729277,5.42205818207641,5.89166979248801e-08,1.17527029020551e-05,Not Significant,0.735075193004836
ENSG00000127419.17,TMEM175,697.704212881976,0.616632842982128,0.113794495089414,5.41882841079093,5.99908591499949e-08,1.18484916665752e-05,Not Significant,0.616632842982128
ENSG00000161996.19,WDR90,293.997754134443,1.65755949090992,0.306150511697792,5.41419800906991,6.156400992944e-08,1.20399889222791e-05,Up-regulated,1.65755949090992
ENSG00000125503.13,PPP1R12C,864.316238398182,0.954088325025299,0.176400604745599,5.40864543180712,6.35032093386463e-08,1.22986603872555e-05,Not Significant,0.954088325025299
ENSG00000183092.18,BEGAIN,836.224738418247,0.984865289117519,0.183299558978887,5.37298231705487,7.74449263211569e-08,1.48545325986004e-05,Not Significant,0.984865289117519
ENSG00000182173.14,TSEN54,210.965868503226,0.815671468829442,0.152520544502842,5.34794490465671,8.89585342679473e-08,1.69004270626382e-05,Not Significant,0.815671468829442
ENSG00000272927.1,ENSG00000272927,64.578866279726,1.60474869526213,0.300451838680487,5.3411179053182,9.23751482808536e-08,1.7383957150061e-05,Up-regulated,1.60474869526213
ENSG00000183323.13,CCDC125,175.16311516843,0.968991192123374,0.181721156652886,5.33229707520676,9.69781141878408e-08,1.8079620764664e-05,Not Significant,0.968991192123374
ENSG00000160796.18,NBEAL2,765.030610791188,0.96861930084017,0.182211978347845,5.31589256437939,1.06135761762004e-07,1.9603668292856e-05,Not Significant,0.96861930084017
ENSG00000173275.13,ZNF449,222.660258867934,1.20682277705302,0.227216959296192,5.31132350679795,1.08831938326325e-07,1.99172431718672e-05,Up-regulated,1.20682277705302
ENSG00000169683.8,LRRC45,223.862589154394,0.785241119600495,0.148726801607735,5.27975530376536,1.29356522090476e-07,2.34582172969165e-05,Not Significant,0.785241119600495
ENSG00000235703.7,EOLA2-DT,60.9185846938747,1.57904813416519,0.29919678473622,5.277624007749,1.30869639908239e-07,2.35188069990049e-05,Up-regulated,1.57904813416519
ENSG00000276975.4,HYDIN2,13.1426409336353,3.43028410889514,0.653908290648621,5.24581834784905,1.5559014534658e-07,2.77117162444069e-05,Up-regulated,3.43028410889514
ENSG00000290418.1,TPTEP1,24.5961808990296,8.20670262781104,1.57075111449198,5.2246995415727,1.7443812494457e-07,3.02581888382112e-05,Up-regulated,8.20670262781104
ENSG00000221978.13,CCNL2,1895.91882312538,0.801646765943696,0.154291278688755,5.19567128327988,2.03982422464266e-07,3.44472410247577e-05,Not Significant,0.801646765943696
ENSG00000186301.8,MST1P2,36.8423977577573,1.67087139860452,0.322962470300495,5.17357758952574,2.29653692158525e-07,3.81760987598189e-05,Up-regulated,1.67087139860452
ENSG00000169752.17,NRG4,62.3318549875749,1.39014097128946,0.269740489184917,5.15362367544483,2.5550043206334e-07,4.14367692585326e-05,Up-regulated,1.39014097128946
ENSG00000145198.15,VWA5B2,513.489837264659,0.778983892511177,0.151506734711501,5.14157930995291,2.72438603032683e-07,4.34768420263678e-05,Not Significant,0.778983892511177
ENSG00000133460.20,SLC2A11,446.974727610641,0.750089715864271,0.145859420303852,5.1425524268621,2.71030774512159e-07,4.34768420263678e-05,Not Significant,0.750089715864271
ENSG00000277639.3,CHD9NB,90.889588361294,3.30489134207175,0.645939400119106,5.11641082965732,3.11404399574234e-07,4.93007536722763e-05,Up-regulated,3.30489134207175
ENSG00000173559.15,NABP1,134.317108631125,1.94225405652193,0.380723197542482,5.10148598524841,3.36996980045533e-07,5.2518873108971e-05,Up-regulated,1.94225405652193
ENSG00000261349.1,ENSG00000261349,8.93055391003495,6.4480105549139,1.26861739201138,5.08270704431273,3.72093363813075e-07,5.75389024910327e-05,Up-regulated,6.4480105549139
ENSG00000266714.11,MYO15B,36.8706510614354,2.21003301064844,0.435070678109552,5.07971031339406,3.78010837843245e-07,5.8004309179208e-05,Up-regulated,2.21003301064844
ENSG00000179832.18,MROH1,1188.76060485741,0.858243778571999,0.169186442691755,5.07276921789563,3.92067879578662e-07,5.92497731957208e-05,Not Significant,0.858243778571999
ENSG00000289047.2,ENSG00000289047,1070.31060987157,0.545106841450094,0.10781911865776,5.05575308197775,4.28695701114708e-07,6.38180734763895e-05,Not Significant,0.545106841450094
ENSG00000108465.15,CDK5RAP3,57.1280693207235,1.44081323335912,0.285108843674254,5.05355503810781,4.33661271284828e-07,6.40790743673315e-05,Up-regulated,1.44081323335912
ENSG00000159733.14,ZFYVE28,256.291993688837,0.677319685960763,0.134113139247957,5.05036038794448,4.40977308759905e-07,6.46809952584013e-05,Not Significant,0.677319685960763
ENSG00000269821.2,KCNQ1OT1,740.374215488313,1.25998564780466,0.249846851197789,5.04303192841604,4.58212757534715e-07,6.67184531919889e-05,Up-regulated,1.25998564780466
ENSG00000235244.6,DANT2,130.832942755997,2.46190207058941,0.488868711009671,5.03591662780952,4.75567531908883e-07,6.87436313515826e-05,Up-regulated,2.46190207058941
ENSG00000106302.10,HYAL4,14.4435567378809,7.32905244123237,1.4602136543571,5.0191644348506,5.18967136309734e-07,7.39454031079041e-05,Up-regulated,7.32905244123237
ENSG00000180902.18,D2HGDH,231.074051145926,1.49596763561117,0.299755055629187,4.9906335440152,6.01815761900492e-07,8.39511945342029e-05,Up-regulated,1.49596763561117
ENSG00000268297.1,CLEC4GP1,14.0171907281321,6.38879927572444,1.2800193641666,4.99117392640703,6.00134270408974e-07,8.39511945342029e-05,Up-regulated,6.38879927572444
ENSG00000119514.7,GALNT12,302.373419364959,0.936051958234097,0.188307596546602,4.9708666851496,6.66542712185993e-07,9.21522643719761e-05,Not Significant,0.936051958234097
ENSG00000167202.12,TBC1D2B,628.4509704611,0.397502486394006,0.0799818542437914,4.96990836424453,6.6984551503592e-07,9.21522643719761e-05,Not Significant,0.397502486394006
ENSG00000126243.9,LRFN3,819.235798806001,0.528178458820483,0.106459404346907,4.96131330116568,7.00181496986138e-07,9.50151054549625e-05,Not Significant,0.528178458820483
