Unnamed: 0,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,abs_log2FC
ENSG00000159445.13,THEM4,878.431034461596,-0.579839681499938,0.101108858357911,-5.73480594002347,9.7624057159018e-09,2.56237459501065e-06,Not Significant,0.579839681499938
ENSG00000146842.17,TMEM209,648.830302300202,-0.449308881461701,0.0787016809585174,-5.70901251395794,1.13633536983181e-08,2.90610486633398e-06,Not Significant,0.449308881461701
ENSG00000035862.13,TIMP2,11430.845241235,-0.430795877126163,0.075690432374965,-5.69154995696194,1.25891310585629e-08,3.13909982945267e-06,Not Significant,0.430795877126163
ENSG00000114742.14,WDR48,2481.18509074034,-0.353620902230251,0.0626539961676277,-5.64402789702601,1.66117139296619e-08,3.89847611139877e-06,Not Significant,0.353620902230251
ENSG00000113638.14,TTC33,1214.27131191868,-0.378121435490414,0.0671045478232236,-5.63481086984619,1.75250560932013e-08,4.06499789473464e-06,Not Significant,0.378121435490414
ENSG00000165821.12,SALL2,3454.96913884234,-0.35465584574816,0.063542519008875,-5.58139417951978,2.38598205107996e-08,5.34781684887e-06,Not Significant,0.35465584574816
ENSG00000073969.19,NSF,5988.5136214474,-0.297830013068618,0.053537146652928,-5.56305353737655,2.65094516777451e-08,5.87567268964066e-06,Not Significant,0.297830013068618
ENSG00000077380.16,DYNC1I2,6251.50837298439,-0.345768931573892,0.0623457246295891,-5.54599266634863,2.9229107624647e-08,6.40727735051054e-06,Not Significant,0.345768931573892
ENSG00000100664.11,EIF5,5691.67482113782,-0.258552807471865,0.0467889231278868,-5.52594054719254,3.27725105579885e-08,7.02952731839521e-06,Not Significant,0.258552807471865
ENSG00000181754.7,AMIGO1,1347.94904770088,-0.326064717359752,0.059139417558909,-5.51349219892059,3.51782636350465e-08,7.38669476833586e-06,Not Significant,0.326064717359752
ENSG00000235437.10,LINC01278,1192.80708943707,-0.431175214156941,0.0787081212340599,-5.47815406334913,4.29785853404673e-08,8.74833490175145e-06,Not Significant,0.431175214156941
ENSG00000122756.15,CNTFR,1544.97574080552,-0.420335991355839,0.0801644999850792,-5.24341811442815,1.5762878217703e-07,2.78263623616584e-05,Not Significant,0.420335991355839
ENSG00000113068.10,PFDN1,1359.21321725874,-0.321105554742117,0.0612610477233847,-5.24159423769607,1.59195137830633e-07,2.78563562232058e-05,Not Significant,0.321105554742117
ENSG00000112852.7,PCDHB2,2106.32282842437,-1.24817889113596,0.238973622506294,-5.22308227178119,1.75969159032448e-07,3.02606274515455e-05,Down-regulated,1.24817889113596
ENSG00000013374.17,NUB1,1581.84307097974,-0.288431343211493,0.0554557888619569,-5.20110432347233,1.98107856378084e-07,3.37765428976924e-05,Not Significant,0.288431343211493
ENSG00000145592.14,RPL37,6416.52119572092,-0.205826278789181,0.039625438651995,-5.19429653755565,2.05495372064677e-07,3.44472410247577e-05,Not Significant,0.205826278789181
ENSG00000106404.14,CLDN15,291.407255065224,-0.536648020383596,0.103777748551781,-5.17112799104359,2.32685117979742e-07,3.836035316909e-05,Not Significant,0.536648020383596
ENSG00000133884.11,DPF2,1782.8423856157,-0.325408297631649,0.0629494477570205,-5.16935905280213,2.34898215274557e-07,3.84077835925973e-05,Not Significant,0.325408297631649
ENSG00000170153.11,RNF150,4172.11585361802,-0.517392134087769,0.101241743660319,-5.11046249681054,3.21371104306462e-07,5.04780377063409e-05,Not Significant,0.517392134087769
ENSG00000106682.16,EIF4H,6579.7535170959,-0.298454958839816,0.0587750048298098,-5.07792316996023,3.81582929259888e-07,5.81054677318797e-05,Not Significant,0.298454958839816
ENSG00000185065.6,UFD1-AS1,67.5657538474288,-1.37879236630571,0.272191774812307,-5.06551811588163,4.07291040451797e-07,6.10875313904696e-05,Down-regulated,1.37879236630571
ENSG00000205929.11,C21orf62,653.564545503359,-0.632365305674837,0.125913870877763,-5.02220526830388,5.10815473089781e-07,7.33075327855752e-05,Not Significant,0.632365305674837
ENSG00000282164.4,PEG13,393.524979179218,-0.647251443241148,0.129287464103695,-5.00629699660609,5.54871218092463e-07,7.85005039610528e-05,Not Significant,0.647251443241148
ENSG00000160785.14,SLC25A44,1943.1877931374,-0.279875550507434,0.0563794321348026,-4.96414277175149,6.90051693413476e-07,9.42818573987124e-05,Not Significant,0.279875550507434
ENSG00000185808.14,PIGP,421.690378569597,-0.462619655759624,0.0934709043213065,-4.9493439602271,7.4464049405773e-07,9.96918696339839e-05,Not Significant,0.462619655759624
ENSG00000149658.18,YTHDF1,1712.50340688833,-0.241097171579487,0.0489162915897274,-4.92877043095634,8.27487368852555e-07,0.0001085968291702,Not Significant,0.241097171579487
ENSG00000158373.9,H2BC5,130.11464726457,-0.859853364585661,0.175217863170432,-4.90733849293262,9.23206226043136e-07,0.0001180520371609,Not Significant,0.859853364585661
ENSG00000105379.10,ETFB,480.525500784458,-0.797062081351226,0.162466694193526,-4.90600295222224,9.29511260073228e-07,0.0001181012141142,Not Significant,0.797062081351226
