"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"52","7","COMPARTMENTS","","Ciliary membrane","4.2E-4","CNGB1|GUCY2D|PDE6A|PKD1|PROM1|PRCD|EHD1","8815","9243|9415|9287|9127|9083|9299|8855","9.11E-7","","GOCC:0060170","0.3973143023095422","0"
"318","14","Monarch Phenotype","","Obesity","4.4E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9175|9083|9299|9311","1.73E-6","","HP:0001513","0.39493713711782924","0"
"19","5","Monarch Phenotype","","Drusen","4.9E-4","PRPH2|GUCY2D|RPE65|LRAT|ENPP1","8815","9259|9415|9195|9439|9275","1.96E-6","","HP:0011510","0.3894372277780067","0"
"531","18","Monarch Phenotype","","Abnormal morphology of the nasal alae","5.2E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|ZNF462|PDE6G|PCARE|LRAT|DVL1|DYNC1I2|PDE6B|PROM1|RBM8A|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|8891|9271|9315|9439|9047|9123|9175|9083|8883|9299|9311","2.12E-6","","HP:0000429","0.38640070070922056","0"
"836","23","Monarch Phenotype","","Abnormal retinal morphology","5.9E-4","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|TYR|GAS8|PDE6G|PCARE|LRAT|MT-ND3|AIPL1|CBS|PDE6B|PROM1|PRCD|SALL2|ABCC8|CYP2D6|ENPP1","8815","9071|9223|9211|9259|9243|9415|9287|9195|9491|9051|9271|9315|9439|9391|9471|9235|9175|9083|9299|9155|9311|9003|9275","2.47E-6","","HP:0000479","0.37994711199745157","0"
"33","6","Reactome Pathways","","Inactivation, recovery and regulation of the phototransduction cascade","0.0013","GUCA1B|CNGB1|GUCY2D|PDE6A|PDE6G|PDE6B","8815","9211|9243|9415|9287|9271|9175","1.17E-6","","HSA-2514859","0.3395783941477704","0"
"9","4","COMPARTMENTS","","Photoreceptor outer segment membrane","0.0014","GUCY2D|PDE6A|PROM1|PRCD","8815","9415|9287|9083|9299","4.08E-6","","GOCC:0042622","0.33579148888929233","0"
"22","5","COMPARTMENTS","","Photoreceptor disc membrane","0.0014","GUCA1B|GUCY2D|PDE6A|PDE6G|PDE6B","8815","9211|9415|9287|9271|9175","3.64E-6","","GOCC:0097381","0.33579148888929233","0"
"102","8","Monarch Phenotype","","Color vision defect","0.0015","IMPG2|TULP1|PRPH2|GUCY2D|RPE65|LRAT|PDE6B|PROM1","8815","9071|9223|9259|9415|9195|9439|9175|9083","6.39E-6","","HP:0000551","0.3322659644384345","0"
"26","5","UniProt Keywords","","Leber congenital amaurosis","0.0017","TULP1|GUCY2D|RPE65|LRAT|AIPL1","8815","9223|9415|9195|9439|9471","7.45E-6","","KW-0901","0.32587014830090755","0"
"26","5","Monarch Phenotype","","Posterior subcapsular cataract","0.0017","IMPG2|TULP1|PDE6A|RPE65|LRAT","8815","9071|9223|9287|9195|9439","7.45E-6","","HP:0007787","0.32587014830090755","0"
"25","5","GO Cellular Component","","Photoreceptor disc membrane","0.0018","GUCA1B|GUCY2D|PDE6A|PDE6G|PDE6B","8815","9211|9415|9287|9271|9175","6.3E-6","","GO:0097381","0.3229493627005705","0"
"27","5","Monarch Phenotype","","Retinal pigment epithelial mottling","0.0019","PRPH2|GUCY2D|RPE65|LRAT|PROM1","8815","9259|9415|9195|9439|9083","8.77E-6","","HP:0007814","0.3201865365350536","0"
"3","3","Monarch Phenotype","","Fundus atrophy","0.0028","GUCY2D|RPE65|PCARE","8815","9415|9195|9315","1.36E-5","","HP:0001099","0.30037178131023545","0"
"670","19","Monarch Phenotype","","Abnormal optic disc morphology","0.0028","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|PDE6G|PCARE|LRAT|MT-ND3|AIPL1|CBS|PDE6B|PROM1|IL11RA|PRCD|ENPP1","8815","9071|9223|9211|9259|9243|9415|9287|9195|9271|9315|9439|9391|9471|9235|9175|9083|9011|9299|9275","1.31E-5","","HP:0012795","0.30037178131023545","0"
"737","20","Monarch Phenotype","","Abnormality of the optic nerve","0.0029","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|TYR|PDE6G|PCARE|LRAT|MT-ND3|AIPL1|CBS|PDE6B|PROM1|IL11RA|PRCD|ENPP1","8815","9071|9223|9211|9259|9243|9415|9287|9195|9491|9271|9315|9439|9391|9471|9235|9175|9083|9011|9299|9275","1.43E-5","","HP:0000587","0.2985786206062212","0"
"10","4","STRING Clusters","","Activation of the phototransduction cascade, and Enhanced S-cone syndrome","0.0029","PRPH2|PDE6A|PDE6G|PDE6B","8815","9259|9287|9271|9175","5.68E-6","","CL:24497","0.2985786206062212","0"
"387","14","Monarch Phenotype","","Hypoplasia of penis","0.003","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|DVL1|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9047|9175|9083|9299","1.5E-5","","HP:0008736","0.2968462568593776","0"
"343","13","Monarch Phenotype","","Hypogonadism","0.0038","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9175|9083|9299","1.92E-5","","HP:0000135","0.2847668289559967","0"
"753","20","Monarch Phenotype","","Sensorineural hearing impairment","0.0038","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|TYR|PDE6G|PCARE|LRAT|MT-ND3|GPC4|DVL1|PDE6B|PROM1|RBM8A|PRCD|ENPP1","8815","9071|9223|9211|9259|9243|9415|9287|9195|9491|9271|9315|9439|9391|9419|9047|9175|9083|8883|9299|9275","1.93E-5","","HP:0000407","0.2847668289559967","0"
"11","4","Reactome Pathways","","Activation of the phototransduction cascade","0.0044","CNGB1|PDE6A|PDE6G|PDE6B","8815","9243|9287|9271|9175","7.69E-6","","HSA-2485179","0.27727541539826533","0"
"749","21","DISEASES","","Eye disease","0.0049","IMPG2|CAPN15|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|C12orf4|RPE65|CD46|PDE6G|PCARE|LRAT|SEC31B|AIPL1|PDE6B|PROM1|PRCD|SALL2|ENPP1","8815","9071|9307|9223|9211|9259|9243|9415|9287|9103|9195|8963|9271|9315|9439|9475|9471|9175|9083|9299|9155|9275","5.29E-6","","DOID:5614","0.2717755060584428","0"
"527","16","Monarch Phenotype","","Abnormal glucose homeostasis","0.0056","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|ETFB|MT-ND3|PDE6B|PROM1|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9379|9391|9175|9083|9299|9311","2.97E-5","","HP:0011014","0.2649520737311786","0"
"1146","25","Monarch Phenotype","","Abnormal posterior eye segment morphology","0.008","IMPG2|TULP1|GUCA1B|PRPH2|TTR|CNGB1|GUCY2D|PDE6A|RPE65|TYR|GAS8|PDE6G|PCARE|LRAT|MT-ND3|AIPL1|CBS|PDE6B|PROM1|IL11RA|PRCD|SALL2|ABCC8|CYP2D6|ENPP1","8815","9071|9223|9211|9259|9007|9243|9415|9287|9195|9491|9051|9271|9315|9439|9391|9471|9235|9175|9083|9011|9299|9155|9311|9003|9275","4.31E-5","","HP:0004329","0.24672604242152102","0"
"738","19","Monarch Phenotype","","Localized skin lesion","0.0087","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|TYR|ZNF462|COL6A3|PDE6G|PCARE|LRAT|DVL1|PDE6B|PROM1|RBM8A|PRCD|ENPP1","8815","9071|9223|9211|9259|9243|9287|9195|9491|8891|8979|9271|9315|9439|9047|9175|9083|8883|9299|9275","4.75E-5","","HP:0011355","0.2424397123069071","0"
"102","7","Monarch Phenotype","","Retinal atrophy","0.0097","IMPG2|PRPH2|GUCY2D|RPE65|LRAT|AIPL1|PROM1","8815","9071|9259|9415|9195|9439|9471|9083","5.48E-5","","HP:0001105","0.23687990396072534","0"
"812","20","Monarch Phenotype","","Functional abnormality of the inner ear","0.0097","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|RPE65|TYR|PDE6G|PCARE|LRAT|MT-ND3|GPC4|DVL1|PDE6B|PROM1|RBM8A|PRCD|ENPP1","8815","9071|9223|9211|9259|9243|9415|9287|9195|9491|9271|9315|9439|9391|9419|9047|9175|9083|8883|9299|9275","5.42E-5","","HP:0011389","0.23687990396072534","0"
"20","4","Monarch Phenotype","","Mental development measurement","0.0098","PCDHGA10|PCDHGA6|PCDHGA7|PCDHGA4","8815","8847|8951|8971|8859","5.62E-5","","EFO:0008230","0.236355798479386","0"
"6","3","Monarch Phenotype","","Granular macular appearance","0.0098","RPE65|LRAT|PROM1","8815","9195|9439|9083","5.61E-5","","HP:0007793","0.236355798479386","0"
"6","3","Monarch Phenotype","","Perifoveal ring of hyperautofluorescence","0.0098","PRPH2|GUCY2D|PROM1","8815","9259|9415|9083","5.61E-5","","HP:0030629","0.236355798479386","0"
"929","23","DISEASES","","Sensory system disease","0.0101","IMPG2|CAPN15|TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|C12orf4|RPE65|CD46|BMP8A|PDE6G|PCARE|LRAT|SEC31B|AIPL1|PDE1C|PDE6B|PROM1|PRCD|SALL2|ENPP1","8815","9071|9307|9223|9211|9259|9243|9415|9287|9103|9195|8963|9283|9271|9315|9439|9475|9471|9227|9175|9083|9299|9155|9275","1.32E-5","","DOID:0050155","0.23481498315966826","0"
"53","6","DISEASES","","Cone-rod dystrophy","0.0101","TULP1|PRPH2|GUCY2D|AIPL1|PROM1|PRCD","8815","9223|9259|9415|9471|9083|9299","1.4E-5","","DOID:0050572","0.23481498315966826","0"
"21","4","UniProt Keywords","","cGMP","0.0112","PDE6A|PDE6G|PDE1C|PDE6B","8815","9287|9271|9227|9175","6.64E-5","","KW-0140","0.2295323661521217","0"
"7","3","Monarch Phenotype","","Yellow/white lesions of the macula","0.0129","IMPG2|PRPH2|PROM1","8815","9071|9259|9083","7.96E-5","","HP:0030500","0.22231126772085036","0"
"34","5","DISEASES","","Leber congenital amaurosis","0.0137","TULP1|GUCY2D|RPE65|LRAT|AIPL1","8815","9223|9415|9195|9439|9471","2.38E-5","","DOID:14791","0.21923666611302972","0"
