"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000140650.13","PMM2",277.622187207191,-0.0483317631540919,0.122303713926204,-0.395178213339084,0.692711370158344,1
"ENSG00000260350.1","ENSG00000260350",22.3941648313806,-0.28412523754742,0.355386557938057,-0.799482229142001,0.424010846979575,1
"ENSG00000153048.11","CARHSP1",1949.04645393746,-0.0125215038940005,0.111753479497345,-0.112045763141523,0.910787121257659,1
"ENSG00000187555.17","USP7",4554.79039792129,-0.000390453365740617,0.0942342037722447,-0.0041434357177178,0.996694026071683,1
"ENSG00000260979.1","USP7-AS1",0.696165982474271,-2.59288156913182,2.05291421731208,-1.26302480019196,0.206580267170793,1
"ENSG00000182831.12","HAPSTR1",1976.57107466942,0.00390367026675717,0.116236353735616,0.0335839016047958,0.973208959685477,1
"ENSG00000220793.5","RPL21P119",1.72858238532882,0.112318855469479,1.35583260407066,0.0828412409705011,0.933977776255889,1
"ENSG00000261617.2","LINC02177",5.46114453566641,0.258118565542832,1.6560644738782,0.155862630721354,0.876141301617424,1
"ENSG00000260071.2","ENSG00000260071",4.72788768755657,-1.34846010227955,1.04504189827799,-1.29034070739319,0.196932388956008,1
"ENSG00000283003.4","ENSG00000283003",0.470228799066143,2.67472960867237,5.32242796623244,0.50253937218914,0.615288164223447,1
"ENSG00000183454.18","GRIN2A",1683.88082367958,-0.135696544601678,0.637006334122879,-0.213022284603377,0.831309580985035,1
"ENSG00000287830.1","ENSG00000287830",0.460213463533233,1.68171352205357,4.33231066171744,0.388179346627671,0.697883316177379,1
"ENSG00000166669.14","ATF7IP2",143.17530867626,0.23485358945394,0.145144942803781,1.61806250302109,0.105649128393057,1
"ENSG00000213853.10","EMP2",63.2066729123871,0.0486769496214623,0.397143702455903,0.122567597875651,0.902449514082032,1
"ENSG00000153060.8","TEKT5",5.15957829019162,-0.345615388095947,0.863722133096008,-0.400146499496418,0.689048617161016,1
"ENSG00000289073.1","ENSG00000289073",1.42156881538938,0.170267228720456,1.15863299040676,0.146955274129283,0.883167323023392,1
"ENSG00000103274.11","NUBP1",175.796992408559,-0.0173608251248808,0.174498235223471,-0.0994899753722304,0.920749246904834,1
"ENSG00000166676.17","TVP23A",550.231248812162,0.01043996665318,0.109681499423443,0.0951843903307233,0.924168368400488,1
"ENSG00000262488.1","ENSG00000262488",0.516113161707299,0.751439022504626,3.02124088952779,0.24871867222149,0.803578404286153,1
"ENSG00000179583.21","CIITA",0.774912407938329,0.592747354951186,1.90887271740367,0.310522199592963,0.756163880419204,1
"ENSG00000182108.11","DEXI",562.038968889696,-0.0346511016834322,0.127792439473476,-0.271151421994917,0.786274573380964,1
"ENSG00000038532.17","CLEC16A",1793.52356126534,-0.0177072769379791,0.0679917026955483,-0.260432909251712,0.794529860601776,1
"ENSG00000229917.2","RPL7P46",6.87628211681703,0.751447334079494,1.71652059535371,0.437773561303906,0.66155043832659,1
"ENSG00000287121.1","ENSG00000287121",3.27712567341879,-0.491225081156033,5.78814947702436,-0.0848673799987224,0.932366825187475,1
"ENSG00000263033.2","ENSG00000263033",5.28651118706743,0.254693131241712,0.844749533694445,0.30150135760103,0.763032214925078,1
"ENSG00000175643.10","RMI2",25.510652683611,0.0711047406236663,0.342612036153597,0.207537194028377,0.835590348295278,1
"ENSG00000185338.7","SOCS1",8.07949253114647,-0.124739254897233,0.574228417529015,-0.217229330854094,0.828029627680929,1
"ENSG00000263080.1","ENSG00000263080",0.752957084960495,-2.62384343847621,2.37748262790667,-1.10362254919459,0.269756905433398,1
"ENSG00000188897.10","ENSG00000188897",15.3143797237959,-0.201169222673909,1.36739947103487,-0.147118107718486,NA,NA
"ENSG00000189067.14","LITAF",431.745206413172,-0.0269698989651506,0.546105721669804,-0.0493858567946989,0.960611799051728,1
"ENSG00000184602.6","SNN",7709.07464341164,-0.0525715266382394,0.0775070774769719,-0.678280337093846,0.497593963421844,1
"ENSG00000153066.13","TXNDC11",730.938711470285,0.00296481825620652,0.106246407901825,0.0279051152387768,0.97773782866299,1
"ENSG00000262420.3","TXNDC11-AS1",1.03362684157563,-1.21944375630401,1.67878827328796,-0.726383294252876,0.467603829541189,1
"ENSG00000122299.12","ZC3H7A",1456.56898942013,-0.0193580230844896,0.144795847199845,-0.133691838950132,0.893646258803033,1
"ENSG00000277369.2","ENSG00000277369",11.3444199738363,-0.199682635826067,0.572950716423015,-0.348516251227862,0.727452511231513,1
"ENSG00000262117.5","BCAR4",0.636554151868037,2.2594064364306,2.55839648353385,0.883133810952452,0.377163978095049,1
"ENSG00000171490.13","RSL1D1",3129.8002272863,0.0172369506272995,0.102647495118913,0.16792373362186,0.866643278519528,1
"ENSG00000263307.2","RSL1D1-DT",2.57417563288003,-0.507075884467759,1.05552000730046,-0.480403858724221,0.630940251045938,1
"ENSG00000103342.13","GSPT1",3793.48008536265,-0.0442095773725332,0.0481360909372977,-0.918428906703721,0.358394362835754,1
"ENSG00000261560.1","ENSG00000261560",4.33621342825634,0.929950232598789,0.780382332265048,1.19165977258817,0.233394677493695,1
"ENSG00000260318.1","COX6CP1",0.635263330972518,-1.17213319829188,2.31510777641436,-0.506297464953137,0.612647842371851,1
"ENSG00000234719.9","NPIPB2",80.4772846138511,-0.000918759677761722,0.979458112683827,-0.00093802855463029,0.999251561608426,1
"ENSG00000048471.14","SNX29",1234.42629048819,-0.0534551363014242,0.131142108098143,-0.40761229994427,0.683558332686566,1
"ENSG00000274834.1","ENSG00000274834",0.816528447091772,-0.173638536740037,2.75237608278906,-0.0630867772125403,0.949697403580467,1
"ENSG00000103381.12","CPPED1",169.531497274424,0.00166509169842937,0.338134408858433,0.00492434858685588,0.996070954169918,1
"ENSG00000237515.10","SHISA9",455.829196344584,0.0550612265964467,0.680604825902594,0.0809004351731219,0.935521133883453,1
"ENSG00000262801.6","ENSG00000262801",2.37426251026839,-0.588694491200217,1.26749939837237,-0.464453467951285,0.642322890280937,1
"ENSG00000262267.6","ENSG00000262267",1.05188659571525,-0.792465343191943,2.04542397979121,-0.387433290614317,0.698435462141778,1
"ENSG00000175595.16","ERCC4",744.489296046513,-0.113829880635291,0.124839782728858,-0.911807743870554,0.361869933150345,1
"ENSG00000262732.1","ENSG00000262732",0.484778859560914,2.98027408676615,3.29328912094428,0.90495367315689,0.365489930486054,1
"ENSG00000186260.17","MRTFB",1859.77949610654,-0.103097332711951,0.201197460574214,-0.512418657858371,0.608358035685267,1
"ENSG00000276564.1","ENSG00000276564",547.177633595183,-0.102391471334994,0.413093807998041,-0.247864938550422,0.804238908492996,1
"ENSG00000262454.4","MIR193BHG",172.352508469602,0.112105357489708,0.138056470949125,0.812025374247182,0.416777071739735,1
"ENSG00000263257.3","ENSG00000263257",1.15842043958378,0.780713573782688,1.53214845701573,0.509554782506739,0.610363409343133,1
"ENSG00000140694.18","PARN",824.97439578021,-0.0526651973535721,0.0704605829887978,-0.747441975635442,0.454796815660782,1
"ENSG00000103429.11","BFAR",1272.18202344666,-0.0878972843774426,0.108464801565116,-0.810376113809368,0.417724041851718,1
"ENSG00000224712.13","NPIPA3",2.41628645546137,-0.898634186786822,1.54232225929081,-0.582650079367999,0.560128885391278,1
"ENSG00000254852.9","NPIPA2",3.876614395516,0.91476256231901,0.946915421675369,0.966044634377724,0.334021846962188,1
"ENSG00000103512.16","NOMO1",5211.50020582807,-0.0141898035038561,0.159065536709428,-0.0892072776881723,0.9289171816812,1
"ENSG00000257264.5","ENSG00000257264",0.37957260942523,0.674511965690246,3.55975056075835,0.189482929822631,0.849714332782264,1
"ENSG00000258354.1","ENSG00000258354",1.77375065532486,-0.85643894260813,1.26817715840964,-0.675330679888721,0.499465696094292,1
"ENSG00000183458.15","PKD1P3",91.0729400158853,-0.472453452594434,0.815882118580885,-0.579070728276533,0.562541450191088,1
"ENSG00000207425.1","Y_RNA",30.5845752979477,-0.248639337180795,0.472349493668392,-0.526388490966289,0.598618310523733,1
"ENSG00000183426.17","NPIPA1",278.722232937967,0.172484883446674,0.152406275684285,1.13174396967735,0.257742090036715,1
"ENSG00000179889.20","PDXDC1",2727.24622382031,-0.00963458851486647,0.0898427052112746,-0.107238406192353,0.914599847356911,1
"ENSG00000261819.1","ENSG00000261819",2.46668021311653,1.88789411621712,1.10215037729373,1.71291881317751,0.0867274766713801,1
"ENSG00000238728.1","MIR1972-1",0.59330983651044,1.63723175266549,2.95901966396717,0.553302086026168,0.580056572879569,1
"ENSG00000275910.1","ENSG00000275910",2.50057142314028,0.884012943814599,0.960223695306146,0.920632294470459,0.357242435569537,1
"ENSG00000157045.9","NTAN1",533.586234577747,-0.0901395106835865,0.0904280015239841,-0.996809717835895,0.318856880385978,1
"ENSG00000085721.13","RRN3",1672.00971175898,-0.00899088560057735,0.153153276290679,-0.0587051470156798,0.953186959685125,1
"ENSG00000293341.1","ENSG00000293341",2.19733187871451,0.800564635357691,1.4425320620201,0.55497181410068,0.578913939625568,1
"ENSG00000188599.18","NPIPP1",8.4188603347442,0.255386173731303,0.748480927380691,0.341205987205349,0.732948516320338,1
"ENSG00000270580.5","PKD1P6-NPIPP1",52.7085298754966,0.0752186817636269,0.253967713291208,0.296174189974214,0.767097058485836,1
"ENSG00000250251.7","PKD1P6",27.2209022786499,0.331743228129173,0.403681678998647,0.821794114987034,0.41119408368656,1
"ENSG00000291272.1","ENSG00000291272",140.39576160796,-0.0935684315712918,0.261521031109204,-0.357785495011375,0.720503846307998,1
"ENSG00000290394.1","ENSG00000290394",7.76240832930066,0.660668938104054,0.676288018098056,0.976904692119302,0.328616338648735,1
"ENSG00000291273.1","ENSG00000291273",1.28439789817117,-0.151474460648337,1.90328297173939,-0.0795858854923216,0.936566621350556,1
"ENSG00000183793.14","NPIPA5",42.5694694994023,0.152198259855544,0.232289698372256,0.655208822957093,0.51233331452355,1
"ENSG00000156968.9","MPV17L",192.044398122951,-0.0922313417773267,0.263304458536367,-0.350284010722849,0.726125563680621,1
"ENSG00000166780.11","BMERB1",5228.13621580854,-0.0219390669145263,0.154368073419208,-0.142121790008662,0.886983806940736,1
"ENSG00000166783.22","MARF1",1268.42613970254,-0.0552465315125652,0.0955094619153566,-0.578440401659119,0.562966823756265,1
"ENSG00000257769.1","ENSG00000257769",1.06523481882685,-0.780112812478108,1.76061609134171,-0.443090811400917,0.657700051132656,1
"ENSG00000072864.16","NDE1",55.9587760089042,0.152319087478247,0.572378843899169,0.266115858581733,0.790149981855242,1
"ENSG00000280206.1","ENSG00000280206",3.62590760963248,-0.328195821652846,1.07202349398278,-0.306146109199093,0.759493402157511,1
"ENSG00000133392.18","MYH11",1.05807660582106,-0.509588938882802,1.49808906531975,-0.340159307400082,0.733736560864888,1
"ENSG00000133393.13","CEP20",341.138574535671,-0.0506930304875845,0.187652529996416,-0.270143069686045,0.78705018859778,1
"ENSG00000103222.20","ABCC1",789.090272248493,0.115718777764088,0.0802484658179583,1.44200610671602,0.149300650879922,1
"ENSG00000091262.17","ABCC6",7.42083422444236,0.612784730838514,1.21718075210539,0.503445958850864,0.614650766113341,1
"ENSG00000103226.19","NOMO3",709.775983040602,-0.0973629847915825,0.328205828393625,-0.296652211412933,0.766732045172335,1
